Transaction ID,Transaction
Trans1,"TV,HDMI cable,soundbar"
Trans2,"gaming console,controller"
Trans3,"laptop,external hard drive"
Trans4,"TV,soundbar,monitor"
Trans5,"gaming console,controller,monitor"
Trans6,"laptop,external hard drive,HDMI cable"
Trans7,"TV,HDMI cable,soundbar"
Trans8,"gaming console,controller"
Trans9,"laptop,monitor"
Trans10,"TV,soundbar,HDMI cable"
Trans11,"gaming console,controller"
Trans12,"laptop,external hard drive"
Trans13,"TV,HDMI cable,soundbar"
Trans14,"gaming console,controller"
Trans15,"laptop,monitor"
Trans16,"TV,soundbar,HDMI cable"
Trans17,"gaming console,controller,monitor"
Trans18,"laptop,external hard drive"
Trans19,"TV,HDMI cable"
Trans20,"gaming console,controller"
