Transaction ID,Transaction
Trans1,"foundation,makeup brush,moisturizer"
Trans2,"lipstick,mascara,eyeliner"
Trans3,"cleanser,moisturizer,perfume"
Trans4,"foundation,lipstick,mascara"
Trans5,"foundation,makeup brush,moisturizer"
Trans6,"cleanser,moisturizer,perfume"
Trans7,"lipstick,mascara,eyeliner"
Trans8,"foundation,perfume"
Trans9,"cleanser,moisturizer,makeup brush"
Trans10,"lipstick,mascara"
Trans11,"foundation,moisturizer"
Trans12,"cleanser,perfume"
Trans13,"lipstick,eyeliner,mascara"
Trans14,"foundation,makeup brush"
Trans15,"cleanser,moisturizer,perfume"
Trans16,"foundation,lipstick"
Trans17,"mascara,eyeliner"
Trans18,"cleanser,moisturizer,perfume"
Trans19,"foundation,makeup brush,moisturizer"
Trans20,"lipstick,mascara,eyeliner"
