Transaction ID,Transaction
Trans1,"bread,butter,milk"
Trans2,"cereal,milk,bread"
Trans3,"eggs,butter,bread"
Trans4,"laundry detergent,fabric softener"
Trans5,"milk,cereal,bread"
Trans6,"toothpaste,laundry detergent"
Trans7,"bread,butter,eggs"
Trans8,"cereal,milk"
Trans9,"toothpaste,laundry detergent,fabric softener"
Trans10,"bread,butter,milk"
Trans11,"cereal,milk,bread"
Trans12,"eggs,butter"
Trans13,"laundry detergent,fabric softener,toothpaste"
Trans14,"milk,cereal,bread"
Trans15,"bread,butter,eggs"
Trans16,"toothpaste,laundry detergent"
Trans17,"cereal,milk"
Trans18,"bread,butter,milk"
Trans19,"laundry detergent,fabric softener"
Trans20,"eggs,butter,bread"
